"Appareil";"Nom=";"6100 PORTABLE";;"Numéro de série=";"8480381";;"Version de logiciel=";"5.7"
;"Adresse MAC=";"00:0A:8D:81:66:7D";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 1"
"TC1";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC2";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC3";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC4";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC5";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC6";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC7";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC8";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC9";"Bas=";20,00;"Haut=";550,00;"Unités=";"°C"
"TC10";"Bas=";0,00;"Haut=";550,00;"Unités=";"°C"
"TC11";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC12";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC13";"Bas=";-30,00;"Haut=";535,00;"Unités=";"°C"
"TC14";"Bas=";-35,00;"Haut=";550,00;"Unités=";"°C"
"TC15";"Bas=";-35,00;"Haut=";550,00;"Unités=";"°C"
"Date/Heure";;"TC1";"TC2";"TC3";"TC4";"TC5";"TC6";"TC7";"TC8";"TC9";"TC10";"TC11";"TC12";"TC13";"TC14";"TC15"
;;"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C";"°C"
"07/02/24 08:12:07.625";"07/02/24 08:12:07 Mise sous tension"
"07/02/24 08:12:07.625";"07/02/24 08:12:07 Version de config:561 Version de sécurité:1"
"07/02/24 08:32:00";;57,91;54,25;51,17;52,51;55,58;59,44;58,64;53,49;63,04;52,45;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:33:00";;59,14;55,26;52,03;53,26;56,62;60,55;59,91;54,43;64,11;53,85;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:34:00";;58,43;54,83;52,26;53,49;56,62;59,45;58,73;54,73;62,12;54,03;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:35:00";;57,49;54,53;51,57;52,78;55,74;58,62;57,94;53,93;61,34;53,22;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:36:00";;58,34;55,27;52,37;53,58;56,33;59,66;59,08;54,74;62,70;53,34;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:37:00";;59,57;56,10;53,57;54,59;57,53;60,83;60,21;55,29;64,05;54,74;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:38:00";;59,52;56,12;53,66;54,99;57,92;60,50;59,84;56,42;63,10;55,36;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:39:00";;58,10;54,95;52,94;54,21;56,62;59,00;58,44;55,21;61,42;54,46;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:40:00";;58,67;54,38;53,09;54,71;56,99;59,83;59,21;55,31;62,58;54,59;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:41:00";;59,89;57,40;54,27;55,65;57,97;61,19;60,51;55,99;64,28;55,68;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:42:00";;60,03;56,88;54,64;55,79;58,56;60,88;60,44;56,98;63,33;56,09;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:43:00";;58,35;55,71;53,59;54,86;57,24;59,23;58,65;55,74;61,24;55,30;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:44:00";;58,73;55,99;53,56;55,26;57,32;59,79;59,29;56,15;62,38;55,28;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:45:00";;60,12;56,88;54,68;55,96;58,47;61,24;60,90;56,54;64,16;56,11;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
"07/02/24 08:46:00";;60,30;57,22;55,27;56,61;59,03;61,23;60,71;57,23;63,51;56,82;"<GAMME";"<GAMME";"<GAMME";"<GAMME";"<GAMME"
