Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
20/02/2024 17:44:40;;169;0;154;35;121,8;;;;;
20/02/2024 17:44:50;;168,4;0;153,4;35;121,5;;;;;
20/02/2024 17:45:00;;167,8;0;152,8;35;121,3;;;;;
20/02/2024 17:45:10;;167,3;0;152,3;35;121,1;;;;;
20/02/2024 17:45:20;;166,8;0;151,9;35;120,9;;;;;
20/02/2024 17:45:30;;166,2;0;151,4;35;120,5;;;;;
20/02/2024 17:45:40;;165,6;0;150,7;35;120,2;;;;;
20/02/2024 17:45:50;;165,1;0;150,3;35;119,9;;;;;
20/02/2024 17:46:00;;164,6;0;149,8;35;119,9;;;;;
20/02/2024 17:46:10;;164,1;0;149,6;35;119,5;;;;;
20/02/2024 17:46:20;;163,6;0;149,1;35;119,1;;;;;
20/02/2024 17:46:30;;163;0;148,7;35;118,8;;;;;
20/02/2024 17:46:40;;162,5;0;148,3;35;118,7;;;;;
20/02/2024 17:46:50;;162;0;147,9;35;118,4;;;;;
20/02/2024 17:47:00;;161,4;0;147,5;35;118,1;;;;;
20/02/2024 17:47:10;;160,9;0;147,1;35;117,7;;;;;
20/02/2024 17:47:20;;160,3;0;146,7;35;117,2;;;;;
20/02/2024 17:47:30;;159,8;0;146,2;35;116,6;;;;;
20/02/2024 17:47:40;;159,2;0;145,7;35;116,3;;;;;
20/02/2024 17:47:50;;158,7;0;145,2;35;115,9;;;;;
20/02/2024 17:48:00;;158,3;0;144,6;35;115,6;;;;;
20/02/2024 17:48:10;;157,8;0;144,1;35;115,3;;;;;
20/02/2024 17:48:20;;157,3;0;143,6;35;115,1;;;;;
20/02/2024 17:48:30;;156,8;0;143,1;35;114,9;;;;;
20/02/2024 17:48:40;;156,3;0;142,6;35;114,5;;;;;
20/02/2024 17:48:50;;155,9;0;142,1;35;114,3;;;;;
20/02/2024 17:49:00;;155,4;0;141,7;35;114,2;;;;;
20/02/2024 17:49:10;;154,8;0;141,2;35;114;;;;;
20/02/2024 17:49:20;;154,3;0;140,8;35;113,6;;;;;
20/02/2024 17:49:30;;153,9;0;140,4;35;113,3;;;;;
20/02/2024 17:49:40;;153,4;0;139,9;35;112,9;;;;;
20/02/2024 17:49:50;;152,9;0;139,4;35;112,6;;;;;
20/02/2024 17:50:00;;152,4;0;138,9;35;112,4;;;;;
20/02/2024 17:50:10;;151,9;0;138,4;35;112,2;;;;;
20/02/2024 17:50:20;;151,5;0;138;35;111,8;;;;;
20/02/2024 17:50:30;;151;0;137,6;35;111,6;;;;;
20/02/2024 17:50:40;;150,6;0;137,2;35;111,2;;;;;
20/02/2024 17:50:50;;150,1;0;136,6;35;110,8;;;;;
20/02/2024 17:51:00;;149,6;0;136,1;35;110,5;;;;;
20/02/2024 17:51:10;;149,1;0;135,7;35;110,2;;;;;
20/02/2024 17:51:20;;148,6;0;135,2;35;109,7;;;;;
20/02/2024 17:51:30;;148,1;0;134,8;35;109,5;;;;;
20/02/2024 17:51:40;;147,7;0;134,4;35;109,3;;;;;
20/02/2024 17:51:50;;147,3;0;134;35;109,1;;;;;
20/02/2024 17:52:00;;146,8;0;133,7;35;108,8;;;;;
20/02/2024 17:52:10;;146,3;0;133,4;35;108,5;;;;;
20/02/2024 17:52:20;;145,9;0;132,9;35;108,2;;;;;
20/02/2024 17:52:30;;145,5;0;132,4;35;107,9;;;;;
20/02/2024 17:52:40;;145;0;132,1;35;107,8;;;;;
20/02/2024 17:52:50;;144,6;0;131,8;35;107,4;;;;;
20/02/2024 17:53:00;;144,2;0;131,3;35;107;;;;;
20/02/2024 17:53:10;;143,7;0;130,8;35;106,7;;;;;
20/02/2024 17:53:20;;143,3;0;130,4;35;106,5;;;;;
20/02/2024 17:53:30;;142,8;0;130;35;106,2;;;;;
20/02/2024 17:53:40;;142,4;0;129,7;35;106;;;;;
20/02/2024 17:53:50;;142;0;129,3;35;105,9;;;;;
20/02/2024 17:54:00;;141,6;0;129;35;105,8;;;;;
20/02/2024 17:54:10;;141,1;0;128,6;35;105,6;;;;;
20/02/2024 17:54:20;;140,8;0;128,2;35;105,3;;;;;
20/02/2024 17:54:30;;140,3;0;127,8;35;104,9;;;;;
20/02/2024 17:54:40;;139,9;0;127,5;35;104,7;;;;;
20/02/2024 17:54:50;;139,5;0;127,1;35;104,5;;;;;
20/02/2024 17:55:00;;139;0;126,8;35;104,1;;;;;
20/02/2024 17:55:10;;138,6;0;126,2;35;103,5;;;;;
20/02/2024 17:55:20;;138,2;0;125,8;35;103,1;;;;;
20/02/2024 17:55:30;;137,7;0;125,4;35;102,8;;;;;
20/02/2024 17:55:40;;137,3;0;125;35;102,4;;;;;
20/02/2024 17:55:50;;136,8;0;124,5;35;102;;;;;
20/02/2024 17:56:00;;136,4;0;124,1;35;101,7;;;;;
20/02/2024 17:56:10;;136;0;123,7;35;101,6;;;;;
20/02/2024 17:56:20;;135,6;0;123,4;35;101,4;;;;;
20/02/2024 17:56:30;;135,2;0;123;35;101,2;;;;;
20/02/2024 17:56:40;;134,8;0;122,8;35;101,1;;;;;
20/02/2024 17:56:50;;134,4;0;122,3;35;100,8;;;;;
20/02/2024 17:57:00;;134,1;0;121,9;35;100,6;;;;;
20/02/2024 17:57:10;;133,7;0;121,5;35;100,4;;;;;
20/02/2024 17:57:20;;133,3;0;121,3;35;100,3;;;;;
20/02/2024 17:57:30;;132,9;0;121;35;100;;;;;
20/02/2024 17:57:40;;132,5;0;120,7;35;99,8;;;;;
20/02/2024 17:57:50;;132,2;0;120,4;35;99,5;;;;;
20/02/2024 17:58:00;;131,9;0;120;35;99,3;;;;;
20/02/2024 17:58:10;;131,4;0;119,6;35;99;;;;;
20/02/2024 17:58:20;;131,1;0;119,3;35;98,8;;;;;
20/02/2024 17:58:30;;130,7;0;119;35;98,5;;;;;
20/02/2024 17:58:40;;130,3;0;118,5;35;98,4;;;;;
20/02/2024 17:58:50;;130;0;118,2;35;98,3;;;;;
20/02/2024 17:59:00;;129,6;0;117,9;35;98;;;;;
20/02/2024 17:59:10;;129,2;0;117,6;35;97,6;;;;;
20/02/2024 17:59:20;;128,8;0;117,3;35;97,4;;;;;
20/02/2024 17:59:30;;128,4;0;117;35;97,1;;;;;
20/02/2024 17:59:40;;128;0;116,7;35;96,8;;;;;
20/02/2024 17:59:50;;127,7;0;116,3;35;96,4;;;;;
20/02/2024 18:00:00;;127,3;0;116;35;96,2;;;;;
20/02/2024 18:00:10;;127;0;115,7;35;96;;;;;
20/02/2024 18:00:20;;126,6;0;115,4;35;95,9;;;;;
20/02/2024 18:00:30;;126,3;0;115;35;95,7;;;;;
20/02/2024 18:00:40;;125,9;0;114,6;35;95,3;;;;;
20/02/2024 18:00:50;;125,6;0;114,2;35;95,1;;;;;
20/02/2024 18:01:00;;125,2;0;113,9;35;95,1;;;;;
20/02/2024 18:01:10;;124,8;0;113,5;35;94,8;;;;;
20/02/2024 18:01:20;;124,5;0;113,3;35;94,7;;;;;
20/02/2024 18:01:30;;124,1;0;113,1;35;94,4;;;;;
20/02/2024 18:01:40;;123,8;0;112,8;35;94,3;;;;;
20/02/2024 18:01:50;;123,4;0;112,5;35;94,1;;;;;
20/02/2024 18:02:00;;123;0;112,2;35;93,9;;;;;
20/02/2024 18:02:10;;122,7;0;111,9;35;93,8;;;;;
